Project,SOW Pole,OneMap Pole,Match Type,Confidence,Distance (m),Verification Status
"louissep15","LAW.P.A033","LAW.P.A033","numeric_suffix",95%,,
"louissep15","LAW.P.A034","LAW.P.A034","numeric_suffix",95%,,
"louissep15","LAW.P.A035","LAW.P.A035","numeric_suffix",95%,,
"louissep15","LAW.P.A036","LAW.P.A036","numeric_suffix",95%,,
"louissep15","LAW.P.A037","LAW.P.A037","numeric_suffix",95%,,
"louissep15","LAW.P.A038","LAW.P.A038","numeric_suffix",95%,,
"louissep15","LAW.P.A039","LAW.P.A039","numeric_suffix",95%,,
"louissep15","LAW.P.A040","LAW.P.A040","numeric_suffix",95%,,
"louissep15","LAW.P.A041","LAW.P.A041","numeric_suffix",95%,,
"louissep15","LAW.P.A042","LAW.P.A042","numeric_suffix",95%,,
"louissep15","LAW.P.A043","LAW.P.A043","numeric_suffix",95%,,
"louissep15","LAW.P.A044","LAW.P.A044","numeric_suffix",95%,,
"louissep15","LAW.P.A045","LAW.P.A045","numeric_suffix",95%,,
"louissep15","LAW.P.A046","LAW.P.A046","numeric_suffix",95%,,
"louissep15","LAW.P.A047","LAW.P.A047","numeric_suffix",95%,,
"louissep15","LAW.P.A048","LAW.P.A048","numeric_suffix",95%,,
"louissep15","LAW.P.A049","LAW.P.A049","numeric_suffix",95%,,
"louissep15","LAW.P.A050","LAW.P.A050","numeric_suffix",95%,,
"louissep15","LAW.P.A051","LAW.P.A051","numeric_suffix",95%,,
"louissep15","LAW.P.A052","LAW.P.A052","numeric_suffix",95%,,
"louissep15","LAW.P.A053","LAW.P.A053","numeric_suffix",95%,,
"louissep15","LAW.P.A054","LAW.P.A054","numeric_suffix",95%,,
"louissep15","LAW.P.A055","LAW.P.A055","numeric_suffix",95%,,
"louissep15","LAW.P.A056","LAW.P.A056","numeric_suffix",95%,,
"louissep15","LAW.P.A057","LAW.P.A057","numeric_suffix",95%,,
"louissep15","LAW.P.A058","LAW.P.A058","numeric_suffix",95%,,
"louissep15","LAW.P.A059","LAW.P.A059","numeric_suffix",95%,,
"louissep15","LAW.P.A060","LAW.P.A060","numeric_suffix",95%,,
"louissep15","LAW.P.A061","LAW.P.A061","numeric_suffix",95%,,
"louissep15","LAW.P.A062","LAW.P.A062","numeric_suffix",95%,,
"louissep15","LAW.P.A063","LAW.P.A063","numeric_suffix",95%,,
"louissep15","LAW.P.A064","LAW.P.A064","numeric_suffix",95%,,
"louissep15","LAW.P.A065","LAW.P.A065","numeric_suffix",95%,,
"louissep15","LAW.P.A066","LAW.P.A066","numeric_suffix",95%,,
"louissep15","LAW.P.A067","LAW.P.A067","numeric_suffix",95%,,
"louissep15","LAW.P.A068","LAW.P.A068","numeric_suffix",95%,,
"louissep15","LAW.P.A069","LAW.P.A069","numeric_suffix",95%,,
"louissep15","LAW.P.A070","LAW.P.A070","numeric_suffix",95%,,
"louissep15","LAW.P.A071","LAW.P.A071","numeric_suffix",95%,,
"louissep15","LAW.P.A072","LAW.P.A072","numeric_suffix",95%,,
"louissep15","LAW.P.A073","LAW.P.A073","numeric_suffix",95%,,
"louissep15","LAW.P.A074","LAW.P.A074","numeric_suffix",95%,,
"louissep15","LAW.P.A075","LAW.P.A075","numeric_suffix",95%,,
"louissep15","LAW.P.A076","LAW.P.A076","numeric_suffix",95%,,
"louissep15","LAW.P.A077","LAW.P.A077","numeric_suffix",95%,,
"louissep15","LAW.P.A078","LAW.P.A078","numeric_suffix",95%,,
"louissep15","LAW.P.A079","LAW.P.A079","numeric_suffix",95%,,
"louissep15","LAW.P.A080","LAW.P.A080","numeric_suffix",95%,,
"louissep15","LAW.P.A081","LAW.P.A081","numeric_suffix",95%,,
"louissep15","LAW.P.A082","LAW.P.A082","numeric_suffix",95%,,
"louissep15","LAW.P.A083","LAW.P.A083","numeric_suffix",95%,,
"louissep15","LAW.P.A084","LAW.P.A084","numeric_suffix",95%,,
"louissep15","LAW.P.A085","LAW.P.A085","numeric_suffix",95%,,
"louissep15","LAW.P.A086","LAW.P.A086","numeric_suffix",95%,,
"louissep15","LAW.P.A087","LAW.P.A087","numeric_suffix",95%,,
"louissep15","LAW.P.A088","LAW.P.A088","numeric_suffix",95%,,
"louissep15","LAW.P.A089","LAW.P.A089","numeric_suffix",95%,,
"louissep15","LAW.P.A090","LAW.P.A090","numeric_suffix",95%,,
"louissep15","LAW.P.A091","LAW.P.A091","numeric_suffix",95%,,
"louissep15","LAW.P.A092","LAW.P.A092","numeric_suffix",95%,,
"louissep15","LAW.P.A093","LAW.P.A093","numeric_suffix",95%,,
"louissep15","LAW.P.A094","LAW.P.A094","numeric_suffix",95%,,
"louissep15","LAW.P.A095","LAW.P.A095","numeric_suffix",95%,,
"louissep15","LAW.P.A096","LAW.P.A096","numeric_suffix",95%,,
